data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
,,#event+code,,#date+occurred,#date+year,,#event+type,,#group+name+first,#group+name+first+assoc,,#group+name+second,#group+name+second+assoc,,,#region+name,#country+name,#adm1+name,#adm2+name,#adm3+name,#loc+name,#geo+lat,#geo+lon,,#meta+source,,#description,#affected+killed,,#country+code
6936793,152,CHI2394,2394,2019-11-26,2019,1,Riots,Violent demonstration,Rioters (Chile),Indigenous Group (Chile),5,,,0,50,South America,Chile,Los Lagos,Osorno,San Juan de la Costa,San Juan de la Costa,-40.5166,-73.4000,1,El Austral Osorno,Subnational,"On 26 November 2019, in San Juan de la Costa (Los Lagos), indigenous people set barricades on fire at the U-400 road in demonstration against the activities of forestry, mining and hydroelectric companies in the city. [size=no report]",0,1582839938,CHL
6938074,152,CHI13,13,2019-11-26,2019,1,Riots,Violent demonstration,Rioters (Chile),,5,Police Forces of Chile (2018-),,1,15,South America,Chile,Atacama,Copiapo,Copiapo,Copiapo,-27.3668,-70.3314,1,El Diario de Atacama,Subnational,"On 26 November 2019, in Copiapo, Atacama region, a group of rioters wearing masks clashed with the Police Forces in different points of the city. The rioters threw stones and other objects at the police, who dispersed groups of demonstrators with teargas and water hoses. One police officer and one rioter were wounded, and one water hose was destroyed. No arrests were made. The event happened during several weeks of a political and social crisis in the country. [size=no report]",0,1582839942,CHL
6936796,152,CHI2381,2381,2019-11-26,2019,1,Riots,Mob violence,Rioters (Chile),,5,Police Forces of Chile (2018-),,1,15,South America,Chile,Los Lagos,Osorno,Osorno,Osorno,-40.5740,-73.1335,1,El Austral Osorno,Subnational,"On 26 November 2019, in Osorno (Los Lagos), a group of rioters provoked unrest and vandalized different establishments across the city after a day of demonstrations against the government. The event took place in the context of several weeks of a political and social crisis in the country. 26 people were arrested. [size=at least 26]",0,1582839938,CHL
6957024,152,CHI2354,2354,2019-11-26,2019,1,Riots,Violent demonstration,Rioters (Chile),,5,Police Forces of Chile (2018-),Civilians (Chile); Labour Group (Chile); Government of Chile (2018-),1,15,South America,Chile,Biobio,Concepcion,Concepcion,Concepcion,-36.8270,-73.0498,1,La Tercera (Chile),National,"On 26 November 2019, in Concepcion, Biobio region, citizens demonstrated over a general discontent with the government. The group demands improvements in education, healthcare and pension policies, among other things. Police Forces of Chile clashed against groups of rioters that built barricades across the city and vandalized municipal buildings. Some stores were looted during the confrontations. [size=no report]",0,1582840323,CHL
7066594,152,CHI2352,2352,2019-11-26,2019,1,Riots,Violent demonstration,Rioters (Chile),,5,,,0,50,South America,Chile,Atacama,Chanaral,Chanaral,Chanaral,-26.3401,-70.6169,2,Chanarcillo,Subnational,"On 26 November 2019, in the rural area of Chanaral, Atacama region, people demonstrated over general discontent with the government. Rioters built barricades in the freeway near the district. The group demands reforms in education, healthcare and pension policies, among other things. [size=no report]",0,1587491660,CHL
7066345,152,CHI2398,2398,2019-11-26,2019,2,Riots,Mob violence,Rioters (Chile),,5,Civilians (Chile),Labour Group (Chile),7,57,South America,Chile,Araucania,Cautin,Temuco,Temuco,-38.7397,-72.5984,1,Austral Temuco,Subnational,"As reported on 26 November 2019, in Temuco (Araucania), a group of rioters vandalized and looted different establishments across the city. The event took place during several weeks of a political and social crisis in the country. [size=no report]",0,1587491658,CHL
7066858,152,CHI2353,2353,2019-11-26,2019,1,Protests,Peaceful protest,Protesters (Chile),Labour Group (Chile),6,,,0,60,South America,Chile,Biobio,Concepcion,Concepcion,Concepcion,-36.8270,-73.0498,1,El Sur,Subnational,"On 26 November 2019, in Concepcion, Biobio region, more than 10,000 people from different unions gathered in the city center and marched in the context of a worker's strike to demand the government to comply with the demands made by organizations and workers. [size=more than 10,000]",0,1587491662,CHL
7066609,152,CHI2357,2357,2019-11-26,2019,1,Protests,Peaceful protest,Protesters (Chile),Labour Group (Chile); ANEF: National Association of Tax Employees; CUT: The Workers' United Center of Chile,6,,,0,60,South America,Chile,Atacama,Copiapo,Copiapo,Copiapo,-27.3668,-70.3314,1,Chanarcillo,Subnational,"On 26 November 2019, in Copiapo, Atacama region, citizens and workers affiliated to CUT and ANEF protested over general discontent with the government. The protesters' demands include reforms in education, healthcare and pension policies, among other things. [size=no report]",0,1587491660,CHL
6957043,152,CHI2370,2370,2019-11-26,2019,1,Riots,Mob violence,Rioters (Chile),,5,Civilians (Chile),Labour Group (Chile),7,57,South America,Chile,Metropolitana,Santiago,La Granja,La Granja,-33.5314,-70.6241,1,La Tercera (Chile),National,"On 26 November 2019, in La Granja, Metropolitan region, a group of rioters set on fire a bus of public service. The event happened during several weeks of a political and social crisis in the country. [size=no report]",0,1582840323,CHL
7067123,152,CHI2374,2374,2019-11-26,2019,1,Protests,Peaceful protest,Protesters (Chile),,6,,,0,60,South America,Chile,Biobio,Arauco,Lebu,Lebu,-37.6096,-73.6488,1,La Estrella Concepcion,Subnational,"On 26 November 2019, in Lebu, Biobio, a group of citizens protested peacefully over a general discontent with the government. Their demands included reforms to education, healthcare, and retirement policies, among others [size=no report].",0,1587491664,CHL
